extra value 0,extra value 1,extra value 2,extra value 3,extra value 4,extra value 5,extra value 6,extra value 7,extra value 8,extra value 9
-4314643377809.418,-3638854346.0048285,-10173069409.204025,-4154763908.6582217,-1771541257.961128,-2468144207.6870637,-1287139004.432482,-649289403.9388779,-15952063.23162056,-9232271.71256194
209158636483841.38,5157215751.92861,35020248300.520546,5411777687.235048,2738707950.8326554,959755207.3288152,2361818527.0700297,1747817258.3688793,12720720.598934403,18081134.3018487
